CHEMBL911|ZOLPIDEM
CHEMBL501867|VINCRISTINE SULFATE
CHEMBL967|TEMAZEPAM
CHEMBL655|MIDAZOLAM
CHEMBL382301|ATOSIBAN
CHEMBL119443|ERGONOVINE
CHEMBL3137320|TALAZOPARIB
CHEMBL1201574|ONABOTULINUMTOXINA
CHEMBL4297841|TISOTUMAB VEDOTIN
CHEMBL1614701|SELUMETINIB
CHEMBL1465|PHENPROCOUMON
CHEMBL1079742|ERLOTINIB HYDROCHLORIDE
CHEMBL1201583|BEVACIZUMAB
CHEMBL1200829|GLUCONOLACTONE
CHEMBL20|ACETAZOLAMIDE
CHEMBL1678|DONEPEZIL HYDROCHLORIDE
CHEMBL1511|ESTRADIOL VALERATE
CHEMBL3991065|ATOGEPANT
CHEMBL514446|DEHYDROCHOLIC ACID
CHEMBL2107333|DIMETHYL FUMARATE
CHEMBL345524|ANTRAFENINE
CHEMBL1373|MODAFINIL
CHEMBL448|PENTOBARBITAL
CHEMBL1200964|AMITRIPTYLINE HYDROCHLORIDE
CHEMBL2108570|ABOBOTULINUMTOXINA
CHEMBL404108|LUMIRACOXIB
CHEMBL328560|SULTHIAME
CHEMBL2103873|MACITENTAN
CHEMBL1200903|SECOBARBITAL SODIUM
CHEMBL548|DINOPROSTONE
CHEMBL564|PROMAZINE
CHEMBL4585668|BELZUTIFAN
CHEMBL3989698|TRANYLCYPROMINE SULFATE
CHEMBL2096631|CLORAZEPATE DIPOTASSIUM
CHEMBL1714|KETAMINE HYDROCHLORIDE
CHEMBL1201093|METHYL AMINOLEVULINATE HYDROCHLORIDE
CHEMBL931|HALOTHANE
CHEMBL254219|DIGITOXIN
CHEMBL61|PODOFILOX
CHEMBL1201550|DENILEUKIN DIFTITOX
CHEMBL1371|CHLORZOXAZONE
CHEMBL2110725|VINFLUNINE
CHEMBL2146883|COBIMETINIB
CHEMBL8|CIPROFLOXACIN
CHEMBL1544|LIOTHYRONINE
CHEMBL1200581|DIATRIZOATE SODIUM
CHEMBL1095292|BRETYLIUM TOSYLATE
CHEMBL1200772|WARFARIN POTASSIUM
CHEMBL1200868|PHENYL AMINOSALICYLATE
CHEMBL315795|CLOMETHIAZOLE
CHEMBL6437|MIANSERIN
CHEMBL1751|DIGOXIN
CHEMBL135400|ZOPICLONE
CHEMBL661|ALPRAZOLAM
CHEMBL2107386|VORAPAXAR SULFATE
CHEMBL1683544|ERIBULIN MESYLATE
CHEMBL3989931|ENASIDENIB MESYLATE
CHEMBL277522|FENBUFEN
CHEMBL282724|SITAXENTAN
CHEMBL568|OXAZEPAM
CHEMBL807|MEMANTINE
