CHEMBL2|PRAZOSIN
CHEMBL3|NICOTINE
CHEMBL4|OFLOXACIN
CHEMBL5|NALIDIXIC ACID
CHEMBL6|INDOMETHACIN
CHEMBL8|CIPROFLOXACIN
CHEMBL9|NORFLOXACIN
CHEMBL11|IMIPRAMINE
CHEMBL12|DIAZEPAM
CHEMBL14|CARBACHOL
CHEMBL16|PHENYTOIN
CHEMBL17|DICHLORPHENAMIDE
CHEMBL18|ETHOXZOLAMIDE
CHEMBL19|METHAZOLAMIDE
CHEMBL20|ACETAZOLAMIDE
CHEMBL22|TRIMETHOPRIM
CHEMBL23|DILTIAZEM
CHEMBL24|ATENOLOL
CHEMBL25|ASPIRIN
CHEMBL26|SULPIRIDE
CHEMBL27|PROPRANOLOL
CHEMBL30|CIMETIDINE
CHEMBL31|GATIFLOXACIN
CHEMBL33|LEVOFLOXACIN
CHEMBL35|FUROSEMIDE
CHEMBL36|PYRIMETHAMINE
CHEMBL38|TRETINOIN
CHEMBL41|FLUOXETINE
CHEMBL42|CLOZAPINE
CHEMBL43|AMSACRINE
CHEMBL45|MELATONIN
CHEMBL46|ONDANSETRON
CHEMBL49|BUSPIRONE
CHEMBL51|KETANSERIN
CHEMBL53|APOMORPHINE
CHEMBL54|HALOPERIDOL
CHEMBL57|NEVIRAPINE
CHEMBL58|MITOXANTRONE
CHEMBL59|DOPAMINE
CHEMBL61|PODOFILOX
CHEMBL70|MORPHINE
CHEMBL71|CHLORPROMAZINE
CHEMBL72|DESIPRAMINE
CHEMBL76|CHLOROQUINE
CHEMBL79|LIDOCAINE
CHEMBL80|NALOXONE
CHEMBL81|RALOXIFENE
CHEMBL83|TAMOXIFEN
CHEMBL85|RISPERIDONE
CHEMBL86|METOCLOPRAMIDE
CHEMBL88|CYCLOPHOSPHAMIDE
CHEMBL90|HISTAMINE
CHEMBL91|MICONAZOLE
CHEMBL93|ZILEUTON
CHEMBL94|PHYSOSTIGMINE
CHEMBL95|TACRINE
CHEMBL98|VORINOSTAT
CHEMBL101|PHENYLBUTAZONE
CHEMBL103|PROGESTERONE
CHEMBL104|CLOTRIMAZOLE
CHEMBL105|MITOMYCIN
CHEMBL106|FLUCONAZOLE
CHEMBL107|COLCHICINE
CHEMBL108|CARBAMAZEPINE
CHEMBL109|VALPROIC ACID
CHEMBL111|RIMONABANT
CHEMBL112|ACETAMINOPHEN
CHEMBL114|SAQUINAVIR
CHEMBL118|CELECOXIB
CHEMBL119|TRIMETREXATE
CHEMBL121|ROSIGLITAZONE
CHEMBL122|ROFECOXIB
CHEMBL128|SUMATRIPTAN
CHEMBL129|ZIDOVUDINE
CHEMBL130|CHLORAMPHENICOL
CHEMBL131|PREDNISOLONE
CHEMBL134|CLONIDINE
CHEMBL135|ESTRADIOL
CHEMBL137|METRONIDAZOLE
CHEMBL139|DICLOFENAC
CHEMBL154|NAPROXEN
CHEMBL159|VINBLASTINE
CHEMBL160|CYCLOSPORINE
CHEMBL163|RITONAVIR
CHEMBL174|AMPICILLIN
CHEMBL175|DEXIBUPROFEN
CHEMBL178|DAUNORUBICIN
CHEMBL181|DIAZOXIDE
CHEMBL182|GANCICLOVIR
CHEMBL184|ACYCLOVIR
CHEMBL185|FLUOROURACIL
CHEMBL189|MILRINONE
CHEMBL190|THEOPHYLLINE
CHEMBL191|LOSARTAN
CHEMBL192|SILDENAFIL
CHEMBL193|NIFEDIPINE
CHEMBL196|ASCORBIC ACID
CHEMBL405|AMPHETAMINE
CHEMBL406|INDAPAMIDE
CHEMBL407|FLUMAZENIL
CHEMBL408|TROGLITAZONE
CHEMBL409|BICALUTAMIDE
CHEMBL411|DIETHYLSTILBESTROL
CHEMBL413|SIROLIMUS
CHEMBL415|CLOMIPRAMINE
CHEMBL416|METHOXSALEN
CHEMBL420|GUANABENZ
CHEMBL421|SULFASALAZINE
CHEMBL422|TRIFLUOPERAZINE
CHEMBL425|OLSALAZINE
CHEMBL433|VALPROATE SODIUM
CHEMBL434|ISOPROTERENOL
CHEMBL435|HYDROCHLOROTHIAZIDE
CHEMBL436|TOLRESTAT
CHEMBL445|NORTRIPTYLINE
CHEMBL448|PENTOBARBITAL
CHEMBL450|METHARBITAL
CHEMBL451|CHLORDIAZEPOXIDE
CHEMBL452|CLONAZEPAM
CHEMBL453|SULFISOXAZOLE
CHEMBL454|BUTALBITAL
CHEMBL456|ETHACRYNIC ACID
CHEMBL457|GEMFIBROZIL
CHEMBL459|METHYLDOPA
CHEMBL460|MOLINDONE
CHEMBL464|ETRETINATE
CHEMBL465|DRONABINOL
CHEMBL467|HYDROXYUREA
CHEMBL468|THALIDOMIDE
CHEMBL471|SOTALOL
CHEMBL472|GLYBURIDE
CHEMBL473|DOFETILIDE
CHEMBL476|DACARBAZINE
CHEMBL477|ADENOSINE
CHEMBL479|THIORIDAZINE
CHEMBL480|LANSOPRAZOLE
CHEMBL481|IRINOTECAN
CHEMBL488|AMINOGLUTETHIMIDE
CHEMBL490|PAROXETINE
CHEMBL493|BROMOCRIPTINE
CHEMBL494|ILOPROST
CHEMBL495|ALPROSTADIL
CHEMBL496|HEXACHLOROPHENE
CHEMBL497|CLIOQUINOL
CHEMBL498|CHLORPROPAMIDE
CHEMBL499|TIMOLOL
CHEMBL500|PINDOLOL
CHEMBL501|AMPHETAMINE SULFATE
CHEMBL503|LOVASTATIN
CHEMBL511|PYRILAMINE
CHEMBL513|CARMUSTINE
CHEMBL515|CHLORAMBUCIL
CHEMBL516|CYPROHEPTADINE
CHEMBL517|DISOPYRAMIDE
CHEMBL521|IBUPROFEN
CHEMBL526|PROPOFOL
CHEMBL527|PIROXICAM
CHEMBL531|PERGOLIDE
CHEMBL532|ERYTHROMYCIN
CHEMBL534|KETOTIFEN
CHEMBL535|SUNITINIB
CHEMBL537|HYDROQUINONE
CHEMBL545|ALCOHOL
CHEMBL547|ISOTRETINOIN
CHEMBL548|DINOPROSTONE
CHEMBL549|CITALOPRAM
CHEMBL550|PILOCARPINE
CHEMBL553|ERLOTINIB
CHEMBL554|LAPATINIB
CHEMBL556|DEFEROXAMINE
CHEMBL559|DEXTROTHYROXINE
CHEMBL561|LOMEFLOXACIN
CHEMBL562|GRISEOFULVIN
CHEMBL563|FLURBIPROFEN
CHEMBL564|PROMAZINE
CHEMBL565|CLOFIBRATE
CHEMBL567|PERPHENAZINE
CHEMBL568|OXAZEPAM
CHEMBL570|TRIFLUPROMAZINE
CHEMBL571|KETOPROFEN
CHEMBL572|NITROFURANTOIN
CHEMBL573|NIACIN
